Country,GDP per capita (USD),Life satisfaction
Afghanistan,2068.2659,3.36
Albania,11586.834,4.959
Algeria,11512.69,5.605
Angola,8239.831,4.033
Argentina,23550.1,6.574
Armenia,11019.839,4.35
Australia,47232.875,7.2
Bhutan,9574.029,5.253
Bolivia,BOL,7730.638,5.89
Bosnia and Herzegovina,12066.592,4.949
Botswana,16042.053,4.332
Brazil,15749.512,6.983
Bulgaria,19202.809,4.218
Cameroon,3470.7856,3.819
Canada,47564.61,7.427
Chile,24173.064,6.67
China,11851.404,5.14
Colombia,13852.242,6.477
Comoros,2996.3794,3.956
Congo,COG,2014,5552.8447,3.989
Costa Rica,CRI,2014,18669.096,7.226
Cote d'Ivoire,4225.9556,3.655
Croatia,24072.44,5.759
Czechia,34386.703,6.505
Democratic Republic of Congo,1029.7908,4.517
Denmark,52048.336,7.527
Dominica,12216.532,4.885
Ecuador,12078.475,5.975
Egypt,10353.667,4.194
El Salvador,7990.442,6.13
Honduras,5177.415,4.788
Hong Kong,56359.3,5.474
Hungary,26485.412,4.8
Iceland,50450.742,7.561
India,5116.629,4.565
Indonesia,9801.166,5.399
Iran,13038.555,4.686
Iraq,9818.652,4.677
Ireland,57668.754,6.94
Israel,37204.504,7.278
